name,genre,released,score,star,country,budget,gross,star2,star3
Why Him?,Comedy,"December 23, 2016 (United States)",6.2,Zoey Deutch,United States,38000000,118102725,Scarlett Johansson,Julia Roberts
Miracles from Heaven,Biography,"March 16, 2016 (United States)",7.1,Jennifer Garner,United States,13000000,73983003,Jake Gyllenhaal,Jake Gyllenhaal
Colossal,Comedy,"April 21, 2017 (Canada)",6.2,Anne Hathaway,Canada,15000000,4531320,Chris Evans,Helen Mirren
Neighbors 2: Sorority Rising,Comedy,"May 20, 2016 (United States)",5.7,Seth Rogen,United States,35000000,108007109,Viola Davis,Mark Ruffalo
Ben-Hur,Action,"August 19, 2016 (United States)",5.7,Jack Huston,United States,100000000,94061311,Lupita Nyong'o,Denzel Washington
Free State of Jones,Action,"June 24, 2016 (United States)",6.9,Matthew McConaughey,United States,50000000,25035950,Samuel L. Jackson,Emily Blunt
Jackie,Biography,"December 2, 2016 (United States)",6.7,Natalie Portman,United States,9000000,29777777,Benedict Cumberbatch,Meryl Streep
Gold,Crime,"January 27, 2017 (United States)",6.7,Matthew McConaughey,United States,20000000,14880939,George Clooney,Julia Roberts
Pete's Dragon,Action,"August 12, 2016 (United States)",6.7,Bryce Dallas Howard,United States,65000000,143695338,Mark Ruffalo,Javier Bardem
31,Horror,"September 16, 2016 (United States)",5.1,Malcolm McDowell,United Kingdom,1500000,850419,Anne Hathaway,Joaquin Phoenix
Keanu,Action,"April 29, 2016 (United States)",6.3,Keegan-Michael Key,United States,15000000,20651333,Tom Hanks,Javier Bardem
Storks,Animation,"September 23, 2016 (United States)",6.8,Andy Samberg,United States,70000000,183388953,Cate Blanchett,Joaquin Phoenix
A Monster Calls,Adventure,"January 6, 2017 (United States)",7.5,Lewis MacDougall,United Kingdom,43000000,47309313,Hugh Jackman,Natalie Portman
Kubo and the Two Strings,Animation,"August 19, 2016 (United States)",7.8,Charlize Theron,United States,60000000,76249438,Joaquin Phoenix,Sandra Bullock
Café Society,Comedy,"August 5, 2016 (United States)",6.6,Jesse Eisenberg,United States,30000000,43763247,Emma Stone,Meryl Streep
Blair Witch,Horror,"September 16, 2016 (United States)",5.0,James Allen McCune,Canada,5000000,45173154,Anne Hathaway,Natalie Portman
Ratchet & Clank,Animation,"April 29, 2016 (United States)",5.6,James Arnold Taylor,Hong Kong,20000000,13385737,Kate Winslet,Tilda Swinton
Risen,Action,"February 19, 2016 (United States)",6.3,Joseph Fiennes,United States,20000000,46771565,Brad Pitt,Reese Witherspoon
Rules Don't Apply,Comedy,"November 23, 2016 (United States)",5.7,Lily Collins,United States,25000000,3885342,Jake Gyllenhaal,Amy Adams
Office Christmas Party,Comedy,"December 9, 2016 (United States)",5.9,Jason Bateman,United States,45000000,114501299,Marion Cotillard,Idris Elba
Florence Foster Jenkins,Biography,"August 12, 2016 (United States)",6.8,Meryl Streep,United Kingdom,29000000,49052787,Scarlett Johansson,Helen Mirren
Batman: The Killing Joke,Animation,"July 25, 2016 (United States)",6.4,Kevin Conroy,United States,3500000,4462034,Saoirse Ronan,Benedict Cumberbatch
Leap!,Animation,"August 25, 2017 (United States)",6.8,Elle Fanning,France,30000000,106127278,Emma Stone,Rachel McAdams
A Hologram for the King,Comedy,"April 28, 2016 (Germany)",6.1,Tom Hanks,United Kingdom,30000000,9169507,Cate Blanchett,Daniel Day-Lewis
Ouija: Origin of Evil,Drama,"October 21, 2016 (United States)",6.1,Elizabeth Reaser,United States,9000000,81705746,Brad Pitt,Rachel McAdams
All I See Is You,Drama,"October 27, 2017 (United States)",5.4,Blake Lively,United States,30000000,678150,Christian Bale,Mark Ruffalo
The Forest,Horror,"January 8, 2016 (United States)",4.8,Natalie Dormer,United States,10000000,39712000,Meryl Streep,Michael Fassbender
Money Monster,Crime,"May 13, 2016 (United States)",6.5,George Clooney,United States,27000000,93282604,Angelina Jolie,Amy Adams
Monster Trucks,Animation,"January 13, 2017 (United States)",5.7,Lucas Till,Canada,125000000,64493915,Joaquin Phoenix,Julia Roberts
The Hollars,Comedy,"August 26, 2016 (United States)",6.6,Sharlto Copley,United States,3800000,1138609,Denzel Washington,Chris Evans
Fifty Shades of Black,Comedy,"January 29, 2016 (United States)",3.5,Marlon Wayans,United States,5000000,22227514,George Clooney,Colin Firth
My Big Fat Greek Wedding 2,Comedy,"March 25, 2016 (United States)",6.0,Nia Vardalos,United States,18000000,90632641,Daniel Day-Lewis,Kate Winslet
Billy Lynn's Long Halftime Walk,Action,"November 18, 2016 (United States)",6.2,Joe Alwyn,United Kingdom,40000000,30930984,Leonardo DiCaprio,Mark Ruffalo
Personal Shopper,Drama,"March 10, 2017 (United States)",6.1,Kristen Stewart,France,6000000,2840408,Tom Hanks,Emma Stone
Love & Friendship,Comedy,"June 3, 2016 (United States)",6.4,Kate Beckinsale,Ireland,3000000,21401949,Charlize Theron,Sandra Bullock
Bleed for This,Biography,"November 18, 2016 (United States)",6.8,Miles Teller,United States,6000000,6698679,Rachel McAdams,Leonardo DiCaprio
Whiskey Tango Foxtrot,Biography,"March 4, 2016 (United States)",6.6,Tina Fey,United States,35000000,24972139,Robert De Niro,Tom Hanks
Loving,Biography,"November 4, 2016 (United States)",7.0,Ruth Negga,United Kingdom,9000000,12957265,Charlize Theron,Mark Ruffalo
Mr. Church,Comedy,"November 11, 2016 (Netherlands)",7.7,Eddie Murphy,United States,8000000,685780,Denzel Washington,Rachel McAdams
Hands of Stone,Biography,"August 26, 2016 (United States)",6.6,Edgar Ramírez,Panama,20000000,4978353,George Clooney,Cate Blanchett
Denial,Biography,"October 21, 2016 (United States)",6.7,Rachel Weisz,United Kingdom,10000000,7994527,Idris Elba,Brad Pitt
Ride Along 2,Action,"January 15, 2016 (United States)",5.9,Ice Cube,United States,40000000,124608438,Julia Roberts,Angelina Jolie
Rock Dog,Animation,"February 24, 2017 (United States)",6.0,Luke Wilson,China,60000000,23157646,Julia Roberts,Tom Hanks
Race,Biography,"February 19, 2016 (United States)",7.1,Stephan James,Canada,35000000,25070261,Daniel Day-Lewis,Denzel Washington
A United Kingdom,Biography,"February 10, 2017 (United States)",6.9,David Oyelowo,Czech Republic,14000000,14459330,Scarlett Johansson,Joaquin Phoenix
Incarnate,Horror,"December 2, 2016 (United States)",5.3,Aaron Eckhart,United States,5000000,9037058,Jake Gyllenhaal,Joaquin Phoenix
Thor: Ragnarok,Action,"November 3, 2017 (United States)",7.9,Chris Hemsworth,United States,180000000,853983911,Matt Damon,Brad Pitt
Darkest Hour,Biography,"December 22, 2017 (United States)",7.4,Gary Oldman,United Kingdom,30000000,150847274,Robert De Niro,Tilda Swinton
The Hitman's Bodyguard,Action,"August 18, 2017 (United States)",6.9,Ryan Reynolds,United States,30000000,176600207,Charlize Theron,Tilda Swinton
It,Horror,"September 8, 2017 (United States)",7.3,Bill Skarsgård,United States,35000000,701796444,Jennifer Aniston,Matt Damon
Spider-Man: Homecoming,Action,"July 7, 2017 (United States)",7.4,Tom Holland,United States,175000000,880166924,Julia Roberts,Jennifer Lawrence
Blade Runner 2049,Action,"October 6, 2017 (United States)",8.0,Harrison Ford,United States,150000000,259334548,Sandra Bullock,Charlize Theron
Guardians of the Galaxy Vol. 2,Action,"May 5, 2017 (United States)",7.6,Chris Pratt,United States,200000000,863756051,Amy Adams,Christian Bale
The Greatest Showman,Biography,"December 20, 2017 (United States)",7.6,Hugh Jackman,United States,84000000,438006904,Daniel Day-Lewis,Marion Cotillard
Jumanji: Welcome to the Jungle,Action,"December 20, 2017 (United States)",6.9,Dwayne Johnson,United States,90000000,962542945,Christian Bale,Will Smith
Baywatch,Action,"May 25, 2017 (United States)",5.5,Dwayne Johnson,United Kingdom,69000000,177856751,Tom Hanks,Nicole Kidman
Home Again,Comedy,"September 8, 2017 (United States)",5.8,Reese Witherspoon,United States,12000000,37270721,Jake Gyllenhaal,Jake Gyllenhaal
The Fate of the Furious,Action,"April 14, 2017 (United States)",6.6,Vin Diesel,China,250000000,1236005118,Leonardo DiCaprio,Meryl Streep
Get Out,Horror,"February 24, 2017 (United States)",7.7,Daniel Kaluuya,United States,4500000,255589157,Idris Elba,Emily Blunt
Dunkirk,Action,"July 21, 2017 (United States)",7.8,Fionn Whitehead,United Kingdom,100000000,527016307,Matt Damon,Christian Bale
Coco,Animation,"November 22, 2017 (United States)",8.4,Anthony Gonzalez,United States,175000000,807817888,Michael Fassbender,Scarlett Johansson
Baby Driver,Action,"June 28, 2017 (United States)",7.6,Ansel Elgort,United Kingdom,34000000,226945087,Will Smith,Chris Evans
The Boss Baby,Animation,"March 31, 2017 (United States)",6.3,Alec Baldwin,United States,125000000,527965936,Sandra Bullock,Amy Adams
Logan,Action,"March 3, 2017 (United States)",8.1,Hugh Jackman,United States,97000000,619179950,Marion Cotillard,Emily Blunt
Wonder Woman,Action,"June 2, 2017 (United States)",7.4,Gal Gadot,United States,149000000,822824522,Daniel Day-Lewis,Viola Davis
Alien: Covenant,Horror,"May 19, 2017 (United States)",6.4,Michael Fassbender,United States,97000000,240891763,Samuel L. Jackson,Scarlett Johansson
John Wick: Chapter 2,Action,"February 10, 2017 (United States)",7.5,Keanu Reeves,United States,40000000,171547802,Emma Stone,Christian Bale
Wonder,Drama,"November 17, 2017 (United States)",8.0,Jacob Tremblay,United States,20000000,306209289,Samuel L. Jackson,Colin Firth
Justice League,Action,"November 17, 2017 (United States)",6.1,Ben Affleck,United States,300000000,657926987,Jake Gyllenhaal,Viola Davis
Mother!,Drama,"September 15, 2017 (United States)",6.6,Jennifer Lawrence,United States,30000000,44516999,Kate Winslet,Benedict Cumberbatch
Pirates of the Caribbean: Dead Men Tell No Tales,Action,"May 26, 2017 (United States)",6.5,Johnny Depp,United States,230000000,794881442,Morgan Freeman,George Clooney
The Shape of Water,Adventure,"December 22, 2017 (United States)",7.3,Sally Hawkins,United States,19400000,195333312,Leonardo DiCaprio,Javier Bardem
Disobedience,Drama,"April 27, 2018 (United States)",6.6,Rachel Weisz,Ireland,6000000,8003180,Johnny Depp,Chris Evans
Kong: Skull Island,Action,"March 10, 2017 (United States)",6.6,Tom Hiddleston,United States,185000000,566652812,Johnny Depp,Octavia Spencer
Beauty and the Beast,Family,"March 17, 2017 (United States)",7.1,Emma Watson,United States,160000000,1264434525,Rachel McAdams,Saoirse Ronan
Kingsman: The Golden Circle,Action,"September 22, 2017 (United States)",6.7,Taron Egerton,United Kingdom,104000000,410902662,Denzel Washington,Emma Stone
"Three Billboards Outside Ebbing, Missouri",Comedy,"December 1, 2017 (United States)",8.1,Frances McDormand,United Kingdom,15000000,160192267,Emily Blunt,Morgan Freeman
Star Wars: Episode VIII - The Last Jedi,Action,"December 15, 2017 (United States)",7.0,Daisy Ridley,United States,317000000,1332698830,Sandra Bullock,Helen Mirren
"I, Tonya",Biography,"January 19, 2018 (United States)",7.5,Margot Robbie,United States,11000000,53939297,Tom Hanks,Jennifer Aniston
Atomic Blonde,Action,"July 28, 2017 (United States)",6.7,Charlize Theron,United States,30000000,100014025,Daniel Day-Lewis,Christian Bale
Wind River,Crime,"August 18, 2017 (United States)",7.7,Elizabeth Olsen,United Kingdom,11000000,43980821,Angelina Jolie,Nicole Kidman
Murder on the Orient Express,Crime,"November 10, 2017 (United States)",6.5,Kenneth Branagh,Malta,55000000,352794081,Idris Elba,Robert De Niro
King Arthur: Legend of the Sword,Action,"May 12, 2017 (United States)",6.7,Charlie Hunnam,United Kingdom,175000000,148675066,Saoirse Ronan,Jake Gyllenhaal
Lady Bird,Comedy,"December 1, 2017 (United States)",7.4,Saoirse Ronan,United States,10000000,78966486,Emily Blunt,Colin Firth
Logan Lucky,Comedy,"August 18, 2017 (United States)",7.0,Channing Tatum,United States,29000000,48453605,Hugh Jackman,Viola Davis
Fifty Shades Darker,Drama,"February 10, 2017 (United States)",4.6,Dakota Johnson,United States,55000000,381545846,Samuel L. Jackson,Angelina Jolie
Happy Death Day,Comedy,"October 13, 2017 (United States)",6.6,Jessica Rothe,United States,4800000,125479266,Octavia Spencer,Michael Fassbender
Transformers: The Last Knight,Action,"June 21, 2017 (United States)",5.2,Mark Wahlberg,United States,217000000,605425157,Javier Bardem,Octavia Spencer
Good Time,Crime,"August 25, 2017 (United States)",7.4,Robert Pattinson,United States,4500000,3283369,Sandra Bullock,Jake Gyllenhaal
Ghost in the Shell,Action,"March 31, 2017 (United States)",6.3,Scarlett Johansson,United States,110000000,169846945,Morgan Freeman,Rachel McAdams
Molly's Game,Biography,"January 5, 2018 (United States)",7.4,Jessica Chastain,China,30000000,59284015,Will Smith,Emily Blunt
Hostiles,Drama,"January 26, 2018 (United States)",7.2,Scott Shepherd,United States,39000000,35669017,Natalie Portman,Reese Witherspoon
Valerian and the City of a Thousand Planets,Action,"July 21, 2017 (United States)",6.5,Dane DeHaan,France,177200000,225973340,Jennifer Lawrence,Ryan Gosling
The Dark Tower,Action,"August 4, 2017 (United States)",5.6,Idris Elba,United States,60000000,113231078,Brad Pitt,Javier Bardem
Pitch Perfect 3,Comedy,"December 22, 2017 (United States)",5.8,Anna Kendrick,United States,45000000,185400345,Tom Hanks,Robert De Niro
American Assassin,Action,"September 15, 2017 (United States)",6.2,Dylan O'Brien,United States,33000000,67234188,Amy Adams,Viola Davis
The Florida Project,Drama,"November 10, 2017 (United Kingdom)",7.6,Brooklynn Prince,United States,2000000,10971298,Idris Elba,Daniel Day-Lewis
Life,Horror,"March 24, 2017 (United States)",6.6,Jake Gyllenhaal,United Kingdom,58000000,100541806,Hugh Jackman,Helen Mirren
The Death of Stalin,Comedy,"March 9, 2018 (United States)",7.2,Steve Buscemi,United Kingdom,13000000,24646055,Emily Blunt,Viola Davis
Gifted,Drama,"April 12, 2017 (United States)",7.6,Chris Evans,United States,7000000,43069254,Emma Stone,Michael Fassbender
Phantom Thread,Drama,"January 19, 2018 (United States)",7.5,Vicky Krieps,United States,35000000,47756590,Helen Mirren,Angelina Jolie
The Upside,Comedy,"January 11, 2019 (United States)",7.0,Kevin Hart,United States,37500000,125856180,Reese Witherspoon,Brad Pitt
Annabelle: Creation,Horror,"August 11, 2017 (United States)",6.5,Anthony LaPaglia,United States,15000000,306515884,Jake Gyllenhaal,Brad Pitt
American Made,Action,"September 29, 2017 (United States)",7.2,Tom Cruise,United States,50000000,134866593,Morgan Freeman,Morgan Freeman
War for the Planet of the Apes,Action,"July 14, 2017 (United States)",7.4,Andy Serkis,United States,150000000,490719763,Tilda Swinton,Lupita Nyong'o
Geostorm,Action,"October 20, 2017 (United States)",5.3,Gerard Butler,United States,120000000,221600160,Hugh Jackman,Denzel Washington
The Circle,Drama,"April 28, 2017 (United States)",5.3,Emma Watson,United Arab Emirates,18000000,40656399,Matt Damon,Jennifer Lawrence
Cars 3,Animation,"June 16, 2017 (United States)",6.7,Owen Wilson,United States,175000000,383930656,Benedict Cumberbatch,Marion Cotillard
Rough Night,Comedy,"June 16, 2017 (United States)",5.2,Scarlett Johansson,United States,20000000,47347283,Marion Cotillard,Rachel McAdams
xXx: Return of Xander Cage,Action,"January 20, 2017 (United States)",5.2,Vin Diesel,China,85000000,346118277,Rachel McAdams,Jake Gyllenhaal
The Mummy,Action,"June 9, 2017 (United States)",5.4,Tom Cruise,United States,125000000,409231607,Emma Stone,Julia Roberts
CHIPS,Action,"March 24, 2017 (United States)",6.0,Michael Peña,United States,25000000,26800152,Natalie Portman,Meryl Streep
Ferdinand,Animation,"December 15, 2017 (United States)",6.7,John Cena,United States,111000000,296069199,Jake Gyllenhaal,Christian Bale
Only the Brave,Action,"October 20, 2017 (United States)",7.6,Josh Brolin,United States,38000000,26351322,Idris Elba,Emily Blunt
The Beguiled,Drama,"June 30, 2017 (United States)",6.3,Nicole Kidman,United States,10500000,27869129,Meryl Streep,Denzel Washington
The Glass Castle,Biography,"August 11, 2017 (United States)",7.1,Brie Larson,United States,9000000,22088533,Cate Blanchett,Hugh Jackman
The Lego Batman Movie,Animation,"February 10, 2017 (United States)",7.3,Will Arnett,United States,80000000,311950384,Morgan Freeman,Jennifer Lawrence
The Big Sick,Comedy,"July 14, 2017 (United States)",7.5,Kumail Nanjiani,United States,5000000,56411585,Reese Witherspoon,Viola Davis
Thoroughbreds,Comedy,"March 9, 2018 (United States)",6.7,Olivia Cooke,United States,6000000,3187255,Emily Blunt,Samuel L. Jackson
The Foreigner,Action,"October 13, 2017 (United States)",7.0,Katie Leung,United Kingdom,35000000,145418070,Johnny Depp,Denzel Washington
Jigsaw,Crime,"October 27, 2017 (United States)",5.8,Matt Passmore,Canada,10000000,102952888,Saoirse Ronan,Julia Roberts
The Snowman,Crime,"October 20, 2017 (United States)",5.1,Michael Fassbender,United Kingdom,35000000,43155261,Jake Gyllenhaal,Julia Roberts
The Disaster Artist,Biography,"December 8, 2017 (United States)",7.4,James Franco,United States,10000000,29820616,Daniel Day-Lewis,Emily Blunt
47 Meters Down,Adventure,"June 16, 2017 (United States)",5.7,Mandy Moore,United Kingdom,5300000,62198461,Marion Cotillard,Brad Pitt
The Post,Drama,"January 12, 2018 (United States)",7.2,Meryl Streep,United States,50000000,180419231,Kate Winslet,Morgan Freeman
"Everything, Everything",Drama,"May 19, 2017 (United States)",6.4,Amandla Stenberg,United States,10000000,61621140,Charlize Theron,Benedict Cumberbatch
A Ghost Story,Drama,"July 27, 2017 (Australia)",6.9,Casey Affleck,United States,100000,1951683,Morgan Freeman,Samuel L. Jackson
Power Rangers,Action,"March 24, 2017 (United States)",5.9,Dacre Montgomery,United States,100000000,142337240,Mark Ruffalo,Julia Roberts
All the Money in the World,Biography,"December 25, 2017 (United States)",6.8,Michelle Williams,United States,50000000,56996304,Robert De Niro,Hugh Jackman
Suburbicon,Comedy,"October 27, 2017 (United States)",5.7,Matt Damon,United Kingdom,25000000,12751667,Joaquin Phoenix,Scarlett Johansson
It Comes at Night,Horror,"June 9, 2017 (United States)",6.2,Joel Edgerton,United States,5000000,19735344,Jennifer Aniston,Sandra Bullock
Despicable Me 3,Animation,"June 30, 2017 (United States)",6.3,Steve Carell,United States,80000000,1034800131,Kate Winslet,Joaquin Phoenix
Going in Style,Comedy,"April 7, 2017 (United States)",6.6,Michael Caine,United States,25000000,84918541,Joaquin Phoenix,Angelina Jolie
Downsizing,Drama,"December 22, 2017 (United States)",5.7,Matt Damon,United States,68000000,55003890,Samuel L. Jackson,Ryan Gosling
Before I Fall,Drama,"March 3, 2017 (United States)",6.5,Zoey Deutch,United States,5000000,16373843,Daniel Day-Lewis,Lupita Nyong'o
Wonder Wheel,Drama,"December 15, 2017 (United States)",6.2,Justin Timberlake,United States,25000000,15889124,Tom Cruise,Johnny Depp
The Emoji Movie,Animation,"July 28, 2017 (United States)",3.3,T.J. Miller,United States,50000000,217776646,Saoirse Ronan,George Clooney
Unforgettable,Drama,"April 21, 2017 (United States)",5.1,Rosario Dawson,United States,12000000,17768012,Michael Fassbender,Sandra Bullock
Paddington 2,Animation,"January 12, 2018 (United States)",7.8,Ben Whishaw,United Kingdom,40000000,227978645,Christian Bale,George Clooney
Girls Trip,Adventure,"July 21, 2017 (United States)",6.2,Regina Hall,United States,19000000,140552359,Michael Fassbender,Will Smith
The Space Between Us,Drama,"February 3, 2017 (United States)",6.4,Gary Oldman,United States,30000000,16080475,Emma Stone,Brad Pitt
The Mountain Between Us,Action,"October 6, 2017 (United States)",6.4,Kate Winslet,United States,35000000,62832209,Jake Gyllenhaal,Helen Mirren
T2 Trainspotting,Drama,"March 31, 2017 (United States)",7.2,Ewan McGregor,United Kingdom,18000000,41681746,Cate Blanchett,Rachel McAdams
The Hero,Drama,"June 9, 2017 (United States)",6.5,Sam Elliott,United States,1200000,4101699,Saoirse Ronan,Emma Stone
Battle of the Sexes,Biography,"September 29, 2017 (United States)",6.7,Emma Stone,United Kingdom,25000000,18598607,Robert De Niro,Saoirse Ronan
The Book of Henry,Crime,"June 23, 2017 (United States)",6.6,Naomi Watts,United States,10000000,4596705,Emily Blunt,Leonardo DiCaprio
Daddy's Home 2,Comedy,"November 10, 2017 (United States)",6.0,Will Ferrell,United States,69000000,180613824,Denzel Washington,Emily Blunt
A Dog's Purpose,Adventure,"January 27, 2017 (United States)",7.2,Josh Gad,United States,22000000,205035819,Meryl Streep,Viola Davis
The Shack,Drama,"March 3, 2017 (United States)",6.3,Sam Worthington,United States,20000000,96942115,Saoirse Ronan,Anne Hathaway
Flatliners,Drama,"September 29, 2017 (United States)",5.2,Elliot Page,United States,19000000,45158254,Tilda Swinton,Leonardo DiCaprio
Rings,Drama,"February 3, 2017 (United States)",4.5,Matilda Anna Ingrid Lutz,United States,25000000,83080890,Scarlett Johansson,Brad Pitt
The Lego Ninjago Movie,Animation,"September 22, 2017 (United States)",6.0,Jackie Chan,United States,70000000,123081555,Tom Cruise,Julia Roberts
The House,Comedy,"June 30, 2017 (United States)",5.6,Will Ferrell,United States,40000000,34184504,Helen Mirren,Nicole Kidman
The Zookeeper's Wife,Biography,"April 7, 2017 (United States)",7.0,Jessica Chastain,Czech Republic,20000000,26152835,Emma Stone,Julia Roberts
Detroit,Crime,"August 4, 2017 (United States)",7.3,John Boyega,United States,34000000,23355100,Rachel McAdams,Joaquin Phoenix
All Eyez on Me,Biography,"June 16, 2017 (United States)",5.9,Demetrius Shipp Jr.,United States,40000000,55668698,Javier Bardem,Reese Witherspoon
Sleepless,Action,"January 13, 2017 (United States)",5.6,Jamie Foxx,United States,30000000,32917353,Ryan Gosling,Natalie Portman
Tulip Fever,Drama,"September 1, 2017 (United States)",6.2,Alicia Vikander,United Kingdom,25000000,9204549,Charlize Theron,Denzel Washington
Stronger,Biography,"September 29, 2017 (United States)",6.9,Jake Gyllenhaal,United States,30000000,8503658,Hugh Jackman,Robert De Niro
Smurfs: The Lost Village,Animation,"April 7, 2017 (United States)",6.0,Demi Lovato,United States,60000000,197183546,Charlize Theron,Matt Damon
Snatched,Action,"May 12, 2017 (United States)",4.5,Amy Schumer,United States,42000000,60845711,Saoirse Ronan,Lupita Nyong'o
"Roman J. Israel, Esq.",Crime,"November 22, 2017 (United States)",6.5,Denzel Washington,Canada,22000000,13025860,Robert De Niro,Colin Firth
Victoria & Abdul,Biography,"October 6, 2017 (United States)",6.8,Judi Dench,United Kingdom,21000000,66558465,Christian Bale,Samuel L. Jackson
Fist Fight,Comedy,"February 17, 2017 (United States)",5.6,Ice Cube,United States,22000000,41087017,Colin Firth,Viola Davis
How to Be a Latin Lover,Comedy,"April 28, 2017 (United States)",6.0,Eugenio Derbez,Mexico,10000000,62547032,Angelina Jolie,Tom Hanks
Same Kind of Different as Me,Biography,"October 20, 2017 (United States)",6.6,Greg Kinnear,United States,15000000,6423605,Joaquin Phoenix,Saoirse Ronan
My Little Pony: The Movie,Animation,"October 6, 2017 (United States)",6.1,Emily Blunt,United States,6500000,60330833,Saoirse Ronan,George Clooney
Table 19,Comedy,"March 3, 2017 (United States)",5.8,Anna Kendrick,United States,5000000,5042014,Brad Pitt,Kate Winslet
Father Figures,Comedy,"December 22, 2017 (United States)",5.5,Owen Wilson,United States,25000000,25601244,Javier Bardem,Leonardo DiCaprio
Kidnap,Action,"August 4, 2017 (United States)",5.9,Halle Berry,United States,21000000,34814102,Ryan Gosling,Reese Witherspoon
Diary of a Wimpy Kid: The Long Haul,Animation,"May 19, 2017 (United States)",4.3,Jason Drucker,United States,22000000,40140972,Benedict Cumberbatch,Viola Davis
Churchill,Biography,"June 2, 2017 (United States)",6.1,Brian Cox,United Kingdom,6400000,6724365,Robert De Niro,Nicole Kidman
The Bookshop,Drama,"August 24, 2018 (United States)",6.5,Emily Mortimer,United Kingdom,5400000,12062146,Leonardo DiCaprio,Colin Firth
A Bad Moms Christmas,Comedy,"November 1, 2017 (United States)",5.6,Mila Kunis,United States,28000000,130560428,Mark Ruffalo,Denzel Washington
Captain Underpants: The First Epic Movie,Animation,"June 2, 2017 (United States)",6.2,Kevin Hart,United States,38000000,125427681,Javier Bardem,Natalie Portman
Wish Upon,Drama,"July 14, 2017 (United States)",5.0,Joey King,United States,12000000,23468586,Amy Adams,Tom Hanks
Marshall,Biography,"October 13, 2017 (United States)",7.3,Chadwick Boseman,United States,12000000,10116816,Sandra Bullock,Charlize Theron
The Resurrection of Gavin Stone,Comedy,"January 20, 2017 (United States)",6.3,Brett Dalton,United States,2000000,2308355,George Clooney,Jennifer Aniston
The Bye Bye Man,Drama,"January 13, 2017 (United States)",4.2,Douglas Smith,United States,7400000,29874280,Jennifer Aniston,Saoirse Ronan
A Quiet Place,Drama,"April 6, 2018 (United States)",7.5,Emily Blunt,United States,17000000,350320413,Colin Firth,Samuel L. Jackson
Avengers: Infinity War,Action,"April 27, 2018 (United States)",8.4,Robert Downey Jr.,United States,321000000,2048359754,Anne Hathaway,Tilda Swinton
Deadpool 2,Action,"May 18, 2018 (United States)",7.7,Ryan Reynolds,Canada,110000000,786470484,Jennifer Aniston,Charlize Theron
Bohemian Rhapsody,Biography,"November 2, 2018 (United States)",7.9,Rami Malek,United Kingdom,52000000,911902649,Daniel Day-Lewis,Idris Elba
Black Panther,Action,"February 16, 2018 (United States)",7.3,Chadwick Boseman,United States,200000000,1347597973,Mark Ruffalo,Christian Bale
Hereditary,Drama,"June 8, 2018 (United States)",7.3,Toni Collette,United States,10000000,80239658,Brad Pitt,Denzel Washington
A Simple Favor,Comedy,"September 14, 2018 (United States)",6.8,Anna Kendrick,Canada,20000000,97644617,Ryan Gosling,Octavia Spencer
Aquaman,Action,"December 21, 2018 (United States)",6.9,Jason Momoa,United States,160000000,1148485886,Tilda Swinton,Scarlett Johansson
Ready Player One,Action,"March 29, 2018 (United States)",7.4,Tye Sheridan,United States,175000000,582893671,Nicole Kidman,Anne Hathaway
Spider-Man: Into the Spider-Verse,Animation,"December 14, 2018 (United States)",8.4,Shameik Moore,United States,90000000,375540831,Jake Gyllenhaal,Julia Roberts
Mission: Impossible - Fallout,Action,"July 27, 2018 (United States)",7.7,Tom Cruise,United States,178000000,791657398,Jennifer Lawrence,Brad Pitt
Venom,Action,"October 5, 2018 (United States)",6.7,Tom Hardy,China,100000000,856085151,Emma Stone,Matt Damon
Green Book,Biography,"November 16, 2018 (United States)",8.2,Viggo Mortensen,United States,23000000,321752656,Hugh Jackman,Kate Winslet
Crazy Rich Asians,Comedy,"August 15, 2018 (United States)",6.9,Constance Wu,United States,30000000,238539198,Rachel McAdams,Johnny Depp
Ant-Man and the Wasp,Action,"July 6, 2018 (United States)",7.0,Paul Rudd,United States,162000000,622674139,Anne Hathaway,Natalie Portman
BlacKkKlansman,Biography,"August 10, 2018 (United States)",7.5,John David Washington,United States,15000000,93413709,Scarlett Johansson,Javier Bardem
The Predator,Action,"September 14, 2018 (United States)",5.3,Boyd Holbrook,United States,88000000,160542134,Julia Roberts,Jake Gyllenhaal
White Boy Rick,Crime,"September 14, 2018 (United States)",6.5,Matthew McConaughey,United States,29000000,25957482,Christian Bale,Hugh Jackman
Solo: A Star Wars Story,Action,"May 25, 2018 (United States)",6.9,Alden Ehrenreich,United States,275000000,392924807,Daniel Day-Lewis,Morgan Freeman
Midnight Sun,Drama,"March 23, 2018 (United States)",6.6,Bella Thorne,United States,2800000,27365467,Charlize Theron,Tilda Swinton
Under the Silver Lake,Crime,"April 19, 2019 (United States)",6.5,Andrew Garfield,United States,8500000,2053469,Kate Winslet,Leonardo DiCaprio
Den of Thieves,Action,"January 19, 2018 (United States)",7.0,Gerard Butler,United States,30000000,80509622,Charlize Theron,Sandra Bullock
Annihilation,Adventure,"February 23, 2018 (United States)",6.8,Natalie Portman,United Kingdom,40000000,43070915,Denzel Washington,Helen Mirren
Red Sparrow,Action,"March 2, 2018 (United States)",6.6,Jennifer Lawrence,United States,69000000,151572634,Chris Evans,Rachel McAdams
